location,continent,iso_code,population,population_density,median_age,Confirmed,Deaths
USA,Americas,USA,331002647,35.608,38.3,1467884,88754
Russia,Europe,RUS,145934460,8.823,39.6,272043,2537
UK,Europe,GBR,67886004,272.898,40.8,240161,34466
Brazil,Americas,BRA,212559409,25.04,33.5,233142,15633
Spain,Europe,ESP,46754783,93.105,45.5,230698,27563
Italy,Europe,ITA,60461828,205.859,47.9,224760,31763
India,Asia,IND,1380004385,450.419,28.2,90927,2872
Germany,Europe,DEU,83783945,237.016,46.6,174355,7914
France,Europe,FRA,65273512,122.578,42,142291,27625
China,Asia,CHN,1439323774,147.674,38.7,84044,4638